駅,degree_centrality_mean,closeness_centrality_mean,basic_self_loop_proportion,avg_circuity_A,alpha_index,basic_circuity_avg,basic_streets_per_node_avg,basic_clean_intersection_density_km
焼津駅,-0.001707442462681544,6.730610858773954e-05,-0.00034915347739405804,-0.05674206985908392,0.012525217961604551,-0.0012392136601320214,0.026532944811474835,2.137581903623186
静岡駅,-0.0019709662264432103,6.382704527573653e-05,-0.000363119926407695,0.01453391192483311,-0.005293015184633709,0.022386384391209546,-0.06026430498858337,6.4044019764839675
浜松駅,-0.002732943759948511,-4.297743077070386e-05,-0.00013702982353519478,0.04274371649455877,-0.028823638995170764,0.040239985109040255,-0.168329765581134,2.292278427499582
